year,type,group,sex,age,citizenship,count
2023,disability.pension,employees,m,35,PHL,267
2023,disability.pension,employees,m,37,PHL,248
2023,disability.pension,employees,m,41,PHL,336
2023,disability.pension,employees,f,59,MDA,21
2023,disability.pension,employees,f,41,MDA,125
2023,disability.pension,employees,m,39,GEO,611
2023,disability.pension,employees,m,32,AZE,149
2023,disability.pension,employees,f,52,GEO,108
2023,disability.pension,employees,f,33,PHL,216
2023,disability.pension,employees,m,30,PHL,154
2023,disability.pension,employees,m,33,TUN,54
2023,disability.pension,employees,m,27,TKM,12
2023,disability.pension,employees,f,61,UKR,1904
2023,disability.pension,employees,m,40,GEO,585
2023,disability.pension,employees,m,25,GEO,524
2023,disability.pension,employees,f,35,GEO,117
2023,disability.pension,employees,m,44,PHL,291
2023,disability.pension,employees,m,37,PHL,46
2023,disability.pension,employees,m,21,UZB,63
2023,disability.pension,employees,m,37,UZB,252
2023,disability.pension,employees,m,39,PHL,333
2023,disability.pension,employees,m,57,RUS,76
2023,disability.pension,employees,f,41,UKR,2120
2023,disability.pension,employees,f,59,BLR,114
2023,disability.pension,employees,m,24,BLR,244
2023,disability.pension,employees,f,40,BGR,19
2023,disability.pension,employees,m,15,BLR,55
2023,disability.pension,employees,f,25,UKR,1388
2023,disability.pension,employees,f,43,BLR,90
2023,disability.pension,employees,m,42,JPN,13
2023,disability.pension,employees,f,34,IDN,37
2023,disability.pension,employees,f,19,IDN,5
2023,disability.pension,employees,f,43,IDN,29
2023,disability.pension,employees,f,50,IDN,12
2023,disability.pension,employees,m,66,LTU,3
2023,disability.pension,employees,m,53,RUS,104
2023,disability.pension,employees,m,46,RUS,111
2023,disability.pension,employees,m,45,RUS,142
2023,disability.pension,employees,f,79,BLR,3
2023,disability.pension,employees,m,48,NLD,17
2023,disability.pension,employees,m,38,ROU,99
2023,disability.pension,employees,m,44,BLR,268
2023,disability.pension,employees,f,36,RUS,158
2023,disability.pension,employees,f,58,BLR,30
2023,disability.pension,employees,f,31,SVK,17
2023,disability.pension,employees,m,42,MDA,282
2023,disability.pension,employees,m,51,RUS,105
2023,disability.pension,employees,f,51,GEO,96
2023,disability.pension,employees,m,20,UKR,488
2023,disability.pension,employees,m,19,BLR,454
2023,disability.pension,employees,m,36,RUS,224
2023,disability.pension,employees,m,25,UKR,1308
2023,disability.pension,employees,f,39,GEO,156
2023,disability.pension,employees,f,27,BLR,1424
2023,disability.pension,employees,f,45,LTU,20
2023,disability.pension,employees,f,37,UKR,321
2023,disability.pension,employees,m,16,ITA,2
2023,disability.pension,employees,m,15,AZE,1
2023,disability.pension,employees,f,64,ARM,8
2023,disability.pension,employees,m,61,UKR,42
2023,disability.pension,employees,m,63,UKR,212
2023,disability.pension,employees,m,60,LVA,2
2023,disability.pension,employees,m,59,UKR,294
2023,disability.pension,employees,f,62,UKR,1550
2023,disability.pension,employees,m,24,UKR,1098
2023,disability.pension,employees,m,26,BLR,340
2023,disability.pension,employees,m,33,BLR,18
2023,disability.pension,employees,m,37,LTU,38
2023,disability.pension,employees,m,56,BLR,78
2023,disability.pension,employees,m,43,ARM,58
2023,disability.pension,employees,m,56,LTU,17
2023,disability.pension,employees,f,48,UKR,2036
2023,disability.pension,employees,m,37,MDA,328
2023,disability.pension,employees,m,42,RUS,146
2023,disability.pension,employees,m,124,BLR,4
2023,disability.pension,employees,m,26,UKR,2132
2023,disability.pension,employees,f,30,UKR,4
2023,disability.pension,employees,m,32,IND,840
2023,disability.pension,employees,m,54,GEO,360
2023,disability.pension,employees,m,43,GEO,552
2023,disability.pension,employees,m,36,UZB,259
2023,disability.pension,employees,m,35,TKM,111
2023,disability.pension,employees,m,37,TKM,87
2023,disability.pension,employees,m,22,TKM,27
2023,disability.pension,employees,m,48,AZE,37
2023,disability.pension,employees,m,39,UZB,46
2023,disability.pension,employees,m,45,AZE,52
2023,disability.pension,employees,m,52,GEO,82
2023,disability.pension,employees,m,42,GEO,578
2023,disability.pension,employees,m,52,AZE,25
2023,disability.pension,employees,m,37,AZE,84
2023,disability.pension,employees,m,31,GEO,640
2023,disability.pension,employees,m,31,UZB,36
2023,disability.pension,employees,m,45,UZB,26
2023,disability.pension,employees,m,64,BLR,105
2023,disability.pension,employees,f,34,UKR,1896
2023,disability.pension,employees,f,49,BLR,82
2023,disability.pension,employees,m,55,BLR,76
2023,disability.pension,employees,f,39,RUS,20
2023,disability.pension,employees,m,43,UKR,1392
2023,disability.pension,employees,m,45,ITA,88
2023,disability.pension,employees,f,30,ROU,40
2023,disability.pension,employees,m,39,MKD,1
2023,disability.pension,employees,f,23,UKR,1206
2023,disability.pension,employees,f,37,BLR,76
2023,disability.pension,employees,m,25,UKR,141
2023,disability.pension,employees,m,34,IND,781
2023,disability.pension,employees,m,41,DNK,11
2023,disability.pension,employees,m,31,UKR,1968
2023,disability.pension,employees,f,31,UKR,1836
2023,disability.pension,employees,f,47,LTU,18
2023,disability.pension,employees,f,34,ROU,45
2023,disability.pension,employees,m,56,ARM,30
2023,disability.pension,employees,m,39,LTU,34
2023,disability.pension,employees,m,34,UKR,1850
2023,disability.pension,employees,m,42,LTU,3
2023,disability.pension,employees,f,28,UKR,1888
2023,disability.pension,employees,m,40,RUS,199
2023,disability.pension,employees,m,29,TWN,5
2023,disability.pension,employees,m,58,VNM,49
2023,disability.pension,employees,f,37,RUS,156
2023,disability.pension,employees,m,42,RUS,32
2023,disability.pension,employees,m,43,TJK,28
2023,disability.pension,employees,m,25,RUS,113
2023,disability.pension,employees,m,26,GEO,628
2023,disability.pension,employees,f,45,ARM,16
2023,disability.pension,employees,m,48,GEO,547
2023,disability.pension,employees,f,41,GEO,175
2023,disability.pension,employees,m,28,BLR,42
2023,disability.pension,employees,m,23,GEO,450
2023,disability.pension,employees,m,44,GEO,570
2023,disability.pension,employees,m,57,GEO,261
2023,disability.pension,employees,m,35,RUS,247
2023,disability.pension,employees,m,66,UKR,567
2023,disability.pension,employees,f,19,BLR,603
2023,disability.pension,employees,m,30,EGY,80
2023,disability.pension,employees,m,49,EGY,14
2023,disability.pension,employees,m,55,KAZ,24
2023,disability.pension,employees,m,40,KAZ,58
2023,disability.pension,employees,m,39,ARM,69
2023,disability.pension,employees,m,53,ARM,38
2023,disability.pension,employees,m,66,ARM,8
2023,disability.pension,employees,m,24,TUR,269
2023,disability.pension,employees,m,51,TUR,98
2023,disability.pension,employees,m,46,TUR,134
2023,disability.pension,employees,f,35,UKR,1994
2023,disability.pension,employees,m,43,LTU,28
2023,disability.pension,employees,f,34,UKR,7
2023,disability.pension,employees,f,43,UKR,2286
2023,disability.pension,employees,m,36,EGY,53
2023,disability.pension,employees,m,54,ARM,40
2023,disability.pension,employees,f,40,UKR,2210
2023,disability.pension,employees,f,37,LTU,26
2023,disability.pension,employees,f,23,IDN,72
2023,disability.pension,employees,f,27,IDN,57
2023,disability.pension,employees,m,65,GEO,43
2023,disability.pension,employees,m,30,UKR,2018
2023,disability.pension,employees,m,19,GEO,267
2023,disability.pension,employees,m,49,MDA,199
2023,disability.pension,employees,m,39,IND,546
2023,disability.pension,employees,m,48,IND,150
2023,disability.pension,employees,m,37,IND,730
2023,disability.pension,employees,m,38,IND,679
2023,disability.pension,employees,m,65,LTU,3
2023,disability.pension,employees,f,69,LTU,5
2023,disability.pension,employees,m,70,UKR,22
2023,disability.pension,employees,m,38,GRC,28
2023,disability.pension,employees,m,27,UKR,315
2023,disability.pension,employees,m,52,LTU,22
2023,disability.pension,employees,f,62,LTU,7
2023,disability.pension,employees,f,53,BLR,68
2023,disability.pension,employees,f,44,UKR,324
2023,disability.pension,employees,f,39,DEU,3
2023,disability.pension,employees,f,58,RUS,37
2023,disability.pension,employees,f,50,RUS,90
2023,disability.pension,employees,m,30,BLR,274
2023,disability.pension,employees,m,24,BLR,21
