year,sex,country_code,prison,country,continent,wbd_region7,schengen
2020,m,TUN,1,Tunisia,Africa,Middle East & North Africa,non-Schengen
2020,m,TKM,2,Turkmenistan,Asia,Europe & Central Asia,non-Schengen
2020,f,BLR,3,Belarus,Europe,Europe & Central Asia,non-Schengen
2020,f,BRA,2,Brazil,Americas,Latin America & Caribbean,non-Schengen
2020,f,BGR,3,Bulgaria,Europe,Europe & Central Asia,non-Schengen
2020,f,GEO,2,Georgia,Asia,Europe & Central Asia,non-Schengen
2020,f,KAZ,1,Kazakhstan,Asia,Europe & Central Asia,non-Schengen
2020,f,LTU,1,Lithuania,Europe,Europe & Central Asia,Schengen
2020,f,NGA,1,Nigeria,Africa,Sub-Saharan Africa,non-Schengen
2020,f,RUS,3,Russia,Europe,Europe & Central Asia,non-Schengen
2020,f,ROU,5,Romania,Europe,Europe & Central Asia,non-Schengen
2020,f,SVK,2,Slovakia,Europe,Europe & Central Asia,Schengen
2020,f,UKR,27,Ukraine,Europe,Europe & Central Asia,non-Schengen
2020,f,VNM,4,Vietnam,Asia,East Asia & Pacific,non-Schengen
2020,f,ARM,2,Armenia,Asia,Europe & Central Asia,non-Schengen
2020,f,ESP,2,Spain,Europe,Europe & Central Asia,Schengen
2020,f,NLD,1,Netherlands,Europe,Europe & Central Asia,Schengen
2020,f,COG,1,Congo - Brazzaville,Africa,Sub-Saharan Africa,non-Schengen
2020,f,USA,1,United States,Americas,North America,non-Schengen
2020,f,GBR,1,United Kingdom,Europe,Europe & Central Asia,non-Schengen
2020,f,ITA,2,Italy,Europe,Europe & Central Asia,Schengen
2020,f,XXX,1,Stateless,other/unknown,other/unknown,non-Schengen
2021,m,AFG,2,Afghanistan,Asia,South Asia,non-Schengen
2021,m,ALB,2,Albania,Europe,Europe & Central Asia,non-Schengen
2021,m,DZA,3,Algeria,Africa,Middle East & North Africa,non-Schengen
2021,m,ARM,26,Armenia,Asia,Europe & Central Asia,non-Schengen
2021,m,AUS,2,Australia,Oceania,East Asia & Pacific,non-Schengen
2021,m,AUT,3,Austria,Europe,Europe & Central Asia,Schengen
2021,m,AZE,9,Azerbaijan,Asia,Europe & Central Asia,non-Schengen
2021,m,BGD,3,Bangladesh,Asia,South Asia,non-Schengen
2021,m,BEL,5,Belgium,Europe,Europe & Central Asia,Schengen
2021,m,BLR,97,Belarus,Europe,Europe & Central Asia,non-Schengen
2021,m,BGR,46,Bulgaria,Europe,Europe & Central Asia,non-Schengen
2021,m,CHN,11,China,Asia,East Asia & Pacific,non-Schengen
2021,m,CZE,15,Czechia,Europe,Europe & Central Asia,Schengen
2021,m,EST,3,Estonia,Europe,Europe & Central Asia,Schengen
2021,m,PHL,1,Philippines,Asia,East Asia & Pacific,non-Schengen
2021,m,FIN,1,Finland,Europe,Europe & Central Asia,Schengen
2021,m,FRA,2,France,Europe,Europe & Central Asia,Schengen
2021,m,GEO,193,Georgia,Asia,Europe & Central Asia,non-Schengen
2021,m,ESP,1,Spain,Europe,Europe & Central Asia,Schengen
2021,m,NLD,10,Netherlands,Europe,Europe & Central Asia,Schengen
2021,m,IND,14,India,Asia,South Asia,non-Schengen
2021,m,IRQ,10,Iraq,Asia,Middle East & North Africa,non-Schengen
2021,m,IRN,4,Iran,Asia,Middle East & North Africa,non-Schengen
2021,m,ISR,3,Israel,Asia,Middle East & North Africa,non-Schengen
2021,m,CMR,4,Cameroon,Africa,Sub-Saharan Africa,non-Schengen
2021,m,CAN,2,Canada,Americas,North America,non-Schengen
2021,m,KAZ,6,Kazakhstan,Asia,Europe & Central Asia,non-Schengen
2021,m,KGZ,2,Kyrgyzstan,Asia,Europe & Central Asia,non-Schengen
2021,m,COL,4,Colombia,Americas,Latin America & Caribbean,non-Schengen
2021,m,LBY,2,Libya,Africa,Middle East & North Africa,non-Schengen
2021,m,LTU,33,Lithuania,Europe,Europe & Central Asia,Schengen
2021,m,LVA,11,Latvia,Europe,Europe & Central Asia,Schengen
2021,m,MAR,4,Morocco,Africa,Middle East & North Africa,non-Schengen
2021,m,MDA,55,Moldova,Europe,Europe & Central Asia,non-Schengen
2021,m,MNG,1,Mongolia,Asia,East Asia & Pacific,non-Schengen
2021,m,DEU,31,Germany,Europe,Europe & Central Asia,Schengen
2021,m,NGA,28,Nigeria,Africa,Sub-Saharan Africa,non-Schengen
2021,m,NOR,1,Norway,Europe,Europe & Central Asia,Schengen
2021,m,PAK,2,Pakistan,Asia,South Asia,non-Schengen
2021,m,PSE,3,Palestinian Territories,Asia,Middle East & North Africa,non-Schengen
2021,m,PAN,1,Panama,Americas,Latin America & Caribbean,non-Schengen
2021,m,PYF,1,French Polynesia,Oceania,East Asia & Pacific,non-Schengen
2021,m,PRT,2,Portugal,Europe,Europe & Central Asia,Schengen
2021,m,RUS,91,Russia,Europe,Europe & Central Asia,non-Schengen
2021,m,ROU,48,Romania,Europe,Europe & Central Asia,non-Schengen
2021,m,SVK,12,Slovakia,Europe,Europe & Central Asia,Schengen
