year,sex,country_code,border,police_id_no,police_id_yes,police,prison,pop_insured,pop_register,country,country_code2,schengen
2022,m,PCN,,,,,,,,Pitcairn Islands,PCN,non-Schengen
2022,m,PER,,0,1,1,,204,403,Peru,PER,non-Schengen
2022,m,PHL,6,0,6,6,,4636,6443,Philippines,PHL,non-Schengen
2022,m,PLW,,,,,,,,Palau,PLW,non-Schengen
2022,m,PNG,,,,,,1,10,Papua New Guinea,PNG,non-Schengen
2022,m,PRI,,,,,,,,Puerto Rico,PRI,non-Schengen
2022,m,PRT,,11,5,16,2,1338,3186,Portugal,PRT,Schengen
2022,m,PRY,5,1,0,1,,19,43,Paraguay,PRY,non-Schengen
2022,m,PSE,2,1,3,4,2,143,77,Palestinian Territories,PSE,non-Schengen
2022,m,PYF,,,,,,,,French Polynesia,PYF,non-Schengen
2022,m,QAT,,,,,,31,10,Qatar,QAT,non-Schengen
2022,m,RKS,,,,,,,,KOSOVO,KOSOVO,non-Schengen
2022,m,ROU,,137,68,205,49,3882,9760,Romania,ROU,non-Schengen
2022,m,RUS,88,65,162,227,81,7325,23615,Russia,RUS,non-Schengen
2022,m,RWA,7,1,10,11,1,549,970,Rwanda,RWA,non-Schengen
2022,m,SAU,1,3,0,3,,41,859,Saudi Arabia,SAU,non-Schengen
2022,m,SRB,,0,1,1,,,,Serbia,SRB,non-Schengen
2022,m,SDN,5,4,0,4,1,47,117,Sudan,SDN,non-Schengen
2022,m,SEN,,0,1,1,1,57,143,Senegal,SEN,non-Schengen
2022,m,SGP,,1,0,1,,16,117,Singapore,SGP,non-Schengen
2022,m,SLB,,,,,,,,Solomon Islands,SLB,non-Schengen
2022,m,SLE,,,,,,11,35,Sierra Leone,SLE,non-Schengen
2022,m,SLV,,,,,,23,47,El Salvador,SLV,non-Schengen
2022,m,SMR,,,,,,,2,San Marino,SMR,non-Schengen
2022,m,SOM,,1,2,3,,21,81,Somalia,SOM,non-Schengen
2022,m,SRB,2,16,4,20,6,,2658,Serbia,SRB,non-Schengen
2022,m,SSD,,,,,,,3,South Sudan,SSD,non-Schengen
2022,m,STP,,,,,,2,4,São Tomé & Príncipe,STP,non-Schengen
2022,m,SUN,,,,,,,,unknown/stateless,unknown/stateless,non-Schengen
2022,m,SUR,,,,,,8,14,Suriname,SUR,non-Schengen
2022,m,SVK,,74,13,87,10,1034,2952,Slovakia,SVK,Schengen
2022,m,SVN,,2,1,3,1,134,445,Slovenia,SVN,Schengen
2022,m,SWE,,10,7,17,2,438,4113,Sweden,SWE,Schengen
2022,m,SWZ,,,,,,,3,Eswatini,SWZ,non-Schengen
2022,m,SYC,,,,,,,6,Seychelles,SYC,non-Schengen
2022,m,SYR,43,8,5,13,4,413,1298,Syria,SYR,non-Schengen
2022,m,TCD,,,,,,3,13,Chad,TCD,non-Schengen
2022,m,TGO,,,,,,22,42,Togo,TGO,non-Schengen
2022,m,THA,,,,,,218,902,Thailand,THA,non-Schengen
2022,m,TJK,56,23,25,48,4,767,2218,Tajikistan,TJK,non-Schengen
2022,m,TKM,57,20,28,48,7,1601,2715,Turkmenistan,TKM,non-Schengen
2022,m,TLS,,,,,,,,Timor-Leste,TLS,non-Schengen
2022,m,TON,,,,,,,3,Tonga,TON,non-Schengen
2022,m,TTO,,,,,,4,22,Trinidad & Tobago,TTO,non-Schengen
2022,m,TUN,11,9,37,46,3,730,1910,Tunisia,TUN,non-Schengen
2022,m,TUR,47,42,82,124,14,6811,22214,Turkey,TUR,non-Schengen
2022,m,TWN,,1,0,1,1,49,630,Taiwan,TWN,non-Schengen
2022,m,TZA,1,2,1,3,2,107,205,Tanzania,TZA,non-Schengen
2022,m,UGA,2,2,1,3,,136,214,Uganda,UGA,non-Schengen
2022,m,UKR,729,1905,7285,9190,701,420246,964301,Ukraine,UKR,non-Schengen
2022,m,UMI,,,,,,,,United States Minor Outlying Islands (the),UMI,non-Schengen
2022,m,UNK,7,,,,,,,unknown/stateless,unknown/stateless,non-Schengen
2022,m,UNKNOWN,,,,,,1,6641,unknown/stateless,unknown/stateless,non-Schengen
2022,m,URY,,0,1,1,,45,46,Uruguay,URY,non-Schengen
2022,m,USA,2,17,15,32,6,1151,7345,United States,USA,non-Schengen
2022,m,UZB,101,38,80,118,18,4927,10855,Uzbekistan,UZB,non-Schengen
2022,m,VAT,,,,,,4,65,Vatican City,VAT,non-Schengen
2022,m,VCT,,,,,,,5,St. Vincent & Grenadines,VCT,non-Schengen
2022,m,VEN,4,0,6,6,,219,442,Venezuela,VEN,non-Schengen
2022,m,VGB,,,,,,7,,British Virgin Islands,VGB,non-Schengen
2022,m,VNM,92,13,44,57,27,4732,11768,Vietnam,VNM,non-Schengen
2022,m,VUT,,,,,,,7,Vanuatu,VUT,non-Schengen
2022,m,XKX,,0,1,1,,,,KOSOVO,KOSOVO,non-Schengen
2022,m,XXA,,,,,,,,unknown/stateless,unknown/stateless,non-Schengen
2022,m,XXX,6,1,3,4,36,,,unknown/stateless,unknown/stateless,non-Schengen
2022,m,YEM,3,1,1,2,,106,298,Yemen,YEM,non-Schengen
2022,m,YUG,,,,,,11,246,unknown/stateless,unknown/stateless,non-Schengen
2022,m,ZAF,,1,0,1,,181,559,South Africa,ZAF,non-Schengen
2022,m,ZMB,1,1,0,1,,38,66,Zambia,ZMB,non-Schengen
2022,m,ZWE,6,4,29,33,2,796,1949,Zimbabwe,ZWE,non-Schengen
2023,f,ABW,,,,,,,,Aruba,ABW,non-Schengen
2023,f,AFG,,,,,,211,317,Afghanistan,AFG,non-Schengen
2023,f,AGO,,,,,,57,191,Angola,AGO,non-Schengen
2023,f,AIA,,,,,,,,Anguilla,AIA,non-Schengen
2023,f,ALB,,,,,,104,443,Albania,ALB,non-Schengen
2023,f,AND,,,,,,7,6,Andorra,AND,non-Schengen
2023,f,ANT,,,,,,,,unknown/stateless,unknown/stateless,non-Schengen
2023,f,ARE,,,,,,,11,United Arab Emirates,ARE,non-Schengen
2023,f,ARG,1,,,,,191,413,Argentina,ARG,non-Schengen
2023,f,ARM,5,0,18,18,,1038,3181,Armenia,ARM,non-Schengen
2023,f,ASM,,,,,,,,American Samoa,ASM,non-Schengen
2023,f,ATA,,,,,,,,Antarctica,ATA,non-Schengen
2023,f,ATF,,,,,,,,French Southern Territories,ATF,non-Schengen
2023,f,ATG,,,,,,,4,Antigua & Barbuda,ATG,non-Schengen
2023,f,AUS,,,,,,30,375,Australia,AUS,non-Schengen
2023,f,AUT,,0,2,2,,113,3066,Austria,AUT,Schengen
2023,f,AZE,3,,,,,805,2088,Azerbaijan,AZE,non-Schengen
2023,f,BDI,,,,,,26,68,Burundi,BDI,non-Schengen
2023,f,BEL,,0,1,1,,80,710,Belgium,BEL,Schengen
2023,f,BEN,,,,,,3,7,Benin,BEN,non-Schengen
2023,f,BFA,,,,,,1,9,Burkina Faso,BFA,non-Schengen
2023,f,BGD,,,,,,137,515,Bangladesh,BGD,non-Schengen
2023,f,BGR,,23,26,49,,771,4361,Bulgaria,BGR,non-Schengen
2023,f,BHR,,,,,,,7,Bahrain,BHR,non-Schengen
2023,f,BHS,,,,,,,2,Bahamas,BHS,non-Schengen
2023,f,BIH,,,,,,37,138,Bosnia & Herzegovina,BIH,non-Schengen
2023,f,BLR,63,24,100,124,10,36582,83636,Belarus,BLR,non-Schengen
2023,f,BLZ,,,,,,,2,Belize,BLZ,non-Schengen
2023,f,BOL,,,,,,19,92,Bolivia,BOL,non-Schengen
2023,f,BRA,2,1,0,1,1,423,1530,Brazil,BRA,non-Schengen
2023,f,BRB,,,,,,,2,Barbados,BRB,non-Schengen
2023,f,BRN,,,,,,,1,Brunei,BRN,non-Schengen
2023,f,BTN,,,,,,,13,Bhutan,BTN,non-Schengen
2023,f,BWA,,,,,,9,17,Botswana,BWA,non-Schengen
2023,f,CAF,,,,,,2,3,Central African Republic,CAF,non-Schengen
2023,f,CAN,1,,,,,93,938,Canada,CAN,non-Schengen
2023,f,CHE,,,,,1,26,281,Switzerland,CHE,Schengen
2023,f,CHL,1,2,0,2,,29,119,Chile,CHL,non-Schengen
2023,f,CHN,9,5,10,15,,1694,9058,China,CHN,non-Schengen
2023,f,CIV,,,,,,11,27,Côte d’Ivoire,CIV,non-Schengen
2023,f,CMR,1,0,3,3,,101,243,Cameroon,CMR,non-Schengen
2023,f,COD,2,,,,,,154,Congo - Kinshasa,COD,non-Schengen
2023,f,COG,,0,2,2,,100,152,Congo - Brazzaville,COG,non-Schengen
2023,f,COL,35,0,4,4,,1464,2695,Colombia,COL,non-Schengen
2023,f,COM,,,,,,,17,Comoros,COM,non-Schengen
2023,f,CPV,,,,,,1,5,Cape Verde,CPV,non-Schengen
2023,f,CRI,,,,,,56,121,Costa Rica,CRI,non-Schengen
2023,f,CSK,,,,,,,,unknown/stateless,unknown/stateless,non-Schengen
2023,f,CUB,2,,,,,135,268,Cuba,CUB,non-Schengen
2023,f,CYM,,,,,,,,Cayman Islands,CYM,non-Schengen
2023,f,CYP,,,,,,12,90,Cyprus,CYP,non-Schengen
2023,f,CZE,,35,2,37,1,510,2215,Czechia,CZE,Schengen
2023,f,DDR,,,,,,,,unknown/stateless,unknown/stateless,non-Schengen
2023,f,DEU,,19,5,24,3,724,15551,Germany,DEU,Schengen
2023,f,DJI,,,,,,,5,Djibouti,DJI,non-Schengen
2023,f,DMA,,,,,,,8,Dominica,DMA,non-Schengen
2023,f,DNK,,1,0,1,1,38,863,Denmark,DNK,Schengen
2023,f,DOM,,,,,,10,67,Dominican Republic,DOM,non-Schengen
2023,f,DZA,,1,1,2,,103,254,Algeria,DZA,non-Schengen
2023,f,ECU,,,,,,44,129,Ecuador,ECU,non-Schengen
2023,f,EGY,,1,0,1,,126,553,Egypt,EGY,non-Schengen
2023,f,ERI,,,,,,4,11,Eritrea,ERI,non-Schengen
2023,f,ESH,,,,,,,,Western Sahara,ESH,non-Schengen
2023,f,ESP,,10,3,13,,511,4160,Spain,ESP,Schengen
2023,f,EST,,0,1,1,,60,328,Estonia,EST,Schengen
2023,f,ETH,2,1,1,2,,301,814,Ethiopia,ETH,non-Schengen
2023,f,FIN,,,,,,89,746,Finland,FIN,Schengen
2023,f,FJI,,,,,,,1,Fiji,FJI,non-Schengen
2023,f,FLK,,,,,,,,Falkland Islands,FLK,non-Schengen
2023,f,FRA,,1,0,1,,457,3961,France,FRA,Schengen
2023,f,FRO,,,,,,,,Faroe Islands,FRO,non-Schengen
2023,f,FSM,,,,,,,1,Micronesia (Federated States of),FSM,non-Schengen
2023,f,GAB,,,,,,10,12,Gabon,GAB,non-Schengen
2023,f,GBR,,4,1,5,,335,2518,United Kingdom,GBR,non-Schengen
2023,f,GEO,63,12,24,36,4,5544,14695,Georgia,GEO,non-Schengen
2023,f,GHA,,,,,,55,149,Ghana,GHA,non-Schengen
2023,f,GIN,,,,,,13,29,Guinea,GIN,non-Schengen
2023,f,GMB,,,,,,5,17,Gambia,GMB,non-Schengen
2023,f,GNB,,,,,,,4,Guinea-Bissau,GNB,non-Schengen
2023,f,GNQ,,,,,,,4,Equatorial Guinea,GNQ,non-Schengen
2023,f,GRC,,2,0,2,,200,1248,Greece,GRC,Schengen
2023,f,GRD,,,,,,,1,Grenada,GRD,non-Schengen
2023,f,GTM,1,,,,,53,114,Guatemala,GTM,non-Schengen
2023,f,GUY,,,,,,2,3,Guyana,GUY,non-Schengen
2023,f,HKG,,,,,,,,Hong Kong SAR China,HKG,non-Schengen
2023,f,HND,,,,,,10,33,Honduras,HND,non-Schengen
2023,f,HRV,,,,,,130,560,Croatia,HRV,Schengen
2023,f,HTI,,,,,,16,23,Haiti,HTI,non-Schengen
2023,f,HUN,,3,0,3,,414,1645,Hungary,HUN,Schengen
2023,f,IDN,3,,,,,1375,2377,Indonesia,IDN,non-Schengen
