year,period,same_year,country_code,border,country,continent,wbd_region7,schengen,sex,age
2014,2014_II,FALSE,NGA,8,Nigeria,Africa,Sub-Saharan Africa,non-Schengen,m,18_59
2014,2014_II,FALSE,NPL,1,Nepal,Asia,South Asia,non-Schengen,f,18_59
2014,2014_II,FALSE,NPL,3,Nepal,Asia,South Asia,non-Schengen,m,18_59
2014,2014_II,FALSE,PAK,8,Pakistan,Asia,"Middle East, North Africa, Afghanistan & Pakistan",non-Schengen,m,18_59
2014,2014_II,FALSE,KOR,2,South Korea,Asia,East Asia & Pacific,non-Schengen,f,18_59
2014,2014_II,FALSE,ROU,1,Romania,Europe,Europe & Central Asia,non-Schengen,m,18_59
2014,2014_II,FALSE,RUS,35,Russia,Europe,Europe & Central Asia,non-Schengen,f,17
2014,2014_II,FALSE,RUS,47,Russia,Europe,Europe & Central Asia,non-Schengen,f,18_59
2014,2014_II,FALSE,RUS,1,Russia,Europe,Europe & Central Asia,non-Schengen,f,60
2014,2014_II,FALSE,RUS,32,Russia,Europe,Europe & Central Asia,non-Schengen,m,17
2014,2014_II,FALSE,RUS,75,Russia,Europe,Europe & Central Asia,non-Schengen,m,18_59
2014,2014_II,FALSE,RUS,1,Russia,Europe,Europe & Central Asia,non-Schengen,m,60
2014,2014_II,FALSE,RWA,1,Rwanda,Africa,Sub-Saharan Africa,non-Schengen,m,18_59
2014,2014_II,FALSE,SRB,2,Serbia,Europe,Europe & Central Asia,non-Schengen,m,18_59
2014,2014_II,FALSE,SYR,16,Syria,Asia,"Middle East, North Africa, Afghanistan & Pakistan",non-Schengen,m,18_59
2014,2014_II,FALSE,TGO,1,Togo,Africa,Sub-Saharan Africa,non-Schengen,m,18_59
2014,2014_II,FALSE,TUN,7,Tunisia,Africa,"Middle East, North Africa, Afghanistan & Pakistan",non-Schengen,m,18_59
2014,2014_II,FALSE,TUR,2,Turkey,Asia,Europe & Central Asia,non-Schengen,f,18_59
2014,2014_II,FALSE,TUR,9,Turkey,Asia,Europe & Central Asia,non-Schengen,m,18_59
2014,2014_II,FALSE,TZA,1,Tanzania,Africa,Sub-Saharan Africa,non-Schengen,m,18_59
2014,2014_II,FALSE,UKR,8,Ukraine,Europe,Europe & Central Asia,non-Schengen,f,17
2014,2014_II,FALSE,UKR,190,Ukraine,Europe,Europe & Central Asia,non-Schengen,f,18_59
2014,2014_II,FALSE,UKR,18,Ukraine,Europe,Europe & Central Asia,non-Schengen,f,60
2014,2014_II,FALSE,UKR,9,Ukraine,Europe,Europe & Central Asia,non-Schengen,m,17
2014,2014_II,FALSE,UKR,481,Ukraine,Europe,Europe & Central Asia,non-Schengen,m,18_59
2014,2014_II,FALSE,UKR,4,Ukraine,Europe,Europe & Central Asia,non-Schengen,m,60
2014,2014_II,FALSE,UNK,1,unknown,other/unknown,other/unknown,non-Schengen,f,18_59
2014,2014_II,FALSE,UNK,7,unknown,other/unknown,other/unknown,non-Schengen,m,18_59
2014,2014_II,FALSE,USA,1,United States,Americas,North America,non-Schengen,f,18_59
2014,2014_II,FALSE,USA,1,United States,Americas,North America,non-Schengen,f,60
2014,2014_II,FALSE,USA,1,United States,Americas,North America,non-Schengen,m,18_59
2014,2014_II,FALSE,USA,1,United States,Americas,North America,non-Schengen,m,60
2014,2014_II,FALSE,UZB,1,Uzbekistan,Asia,Europe & Central Asia,non-Schengen,f,17
2014,2014_II,FALSE,UZB,5,Uzbekistan,Asia,Europe & Central Asia,non-Schengen,f,18_59
2014,2014_II,FALSE,UZB,1,Uzbekistan,Asia,Europe & Central Asia,non-Schengen,m,17
2014,2014_II,FALSE,UZB,11,Uzbekistan,Asia,Europe & Central Asia,non-Schengen,m,18_59
2014,2014_II,FALSE,VEN,1,Venezuela,Americas,Latin America & Caribbean,non-Schengen,m,18_59
2014,2014_II,FALSE,VNM,4,Vietnam,Asia,East Asia & Pacific,non-Schengen,f,17
2014,2014_II,FALSE,VNM,17,Vietnam,Asia,East Asia & Pacific,non-Schengen,f,18_59
2014,2014_II,FALSE,VNM,4,Vietnam,Asia,East Asia & Pacific,non-Schengen,m,17
2014,2014_II,FALSE,VNM,61,Vietnam,Asia,East Asia & Pacific,non-Schengen,m,18_59
2014,2014_II,FALSE,XXX,1,Stateless,other/unknown,other/unknown,non-Schengen,f,18_59
2014,2014_II,FALSE,XXX,3,Stateless,other/unknown,other/unknown,non-Schengen,m,17
2014,2014_II,FALSE,XXX,13,Stateless,other/unknown,other/unknown,non-Schengen,m,18_59
2014,2014_II,FALSE,XXX,1,Stateless,other/unknown,other/unknown,non-Schengen,m,60
2014,2014_II,FALSE,ZMB,1,Zambia,Africa,Sub-Saharan Africa,non-Schengen,m,18_59
2014,2014_II,TRUE,ETH,1,Ethiopia,Africa,Sub-Saharan Africa,non-Schengen,m,18_59
