year,sex,country_code,country,border,police_id_no,police_id_yes,police,prison,pop_insured,pop_register,continent,wbd_region7,schengen,ukr,simplified_proc
2019,m,COL,Colombia,8,5,1,6,4,208,189,Americas,Latin America & Caribbean,non-Schengen,0,0
2019,m,COM,Comoros,0,0,0,0,0,0,1,Africa,Sub-Saharan Africa,non-Schengen,0,0
2019,m,CPV,Cape Verde,0,0,0,0,0,0,2,Africa,Sub-Saharan Africa,non-Schengen,0,0
2019,m,CRI,Costa Rica,0,1,0,1,1,34,32,Americas,Latin America & Caribbean,non-Schengen,0,0
2019,m,CUB,Cuba,4,0,0,0,0,130,95,Americas,Latin America & Caribbean,non-Schengen,0,0
2019,m,CYM,Cayman Islands,0,0,0,0,0,0,0,Americas,Latin America & Caribbean,non-Schengen,0,0
2019,m,DJI,Djibouti,0,0,0,0,0,0,1,Africa,"Middle East, North Africa, Afghanistan & Pakistan",non-Schengen,0,0
2019,m,DMA,Dominica,0,0,0,0,0,0,4,Americas,Latin America & Caribbean,non-Schengen,0,0
2019,m,DOM,Dominican Republic,0,0,0,0,0,18,29,Americas,Latin America & Caribbean,non-Schengen,0,0
2019,m,DZA,Algeria,20,2,10,12,6,531,424,Africa,"Middle East, North Africa, Afghanistan & Pakistan",non-Schengen,0,0
2019,m,ECU,Ecuador,0,1,0,1,0,38,45,Americas,Latin America & Caribbean,non-Schengen,0,0
2019,m,EGY,Egypt,18,5,15,20,2,1018,777,Africa,"Middle East, North Africa, Afghanistan & Pakistan",non-Schengen,0,0
2019,m,ERI,Eritrea,0,0,0,0,0,0,4,Africa,Sub-Saharan Africa,non-Schengen,0,0
2019,m,ESH,Western Sahara,0,0,0,0,0,0,0,Africa,Middle East & North Africa,non-Schengen,0,0
2019,m,ETH,Ethiopia,3,0,2,2,0,110,191,Africa,Sub-Saharan Africa,non-Schengen,0,0
2019,m,FJI,Fiji,0,0,0,0,0,0,1,Oceania,East Asia & Pacific,non-Schengen,0,0
2019,m,FLK,Falkland Islands,0,0,0,0,0,0,0,Americas,Latin America & Caribbean,non-Schengen,0,0
2019,m,FRO,Faroe Islands,0,0,0,0,0,0,0,Europe,Europe & Central Asia,non-Schengen,0,0
